Content Source,Network Archived,Count,Exported Date
Content Source,Network,Archived Count,2023-07-03 20:00
exchange,journal,3298433,2023-07-03 20:00
exchange,salesforce email,58263,2023-07-03 20:00
exchange,mobileguard,4393,2023-07-03 20:00
msteamscc,msteams,157441,2023-07-03 20:00
bloombergmailcc,bloombergmail,132121,2023-07-03 20:00
sharepointonline,sharepoint,7862,2023-07-03 20:00
exodusapiv2,genesys chat,836,2023-07-03 20:00
sfchatterrbs,salesforce chatter,138,2023-07-03 20:00
advicesuite,advice suite,91,2023-07-03 20:00
sfchatteras,salesforce chatter,81,2023-07-03 20:00
sfchatterscrs,salesforce chatter,51,2023-07-03 20:00
kiteworks,kiteworks,43,2023-07-03 20:00
hearsayrelatetexts,hearsay sms text,10,2023-07-03 20:00
bloombergimcc,instantbloomberg,5,2023-07-03 20:00
sfchatterfd,salesforce chatter,1,2023-07-03 20:00
